ID,log2FC
H2AC8,-2.756221756
RPS6KA3,1.800672719
ZFR,2.251312569
RAD51AP1,1.830254033
DNAJC6,1.537061573
BHLHE40,2.133252207
TFRC,1.369559907
PODNL1,-2.184071085
CAB39,1.210468981
TLK2,1.672646673
E2F1,-1.371679587
KIF2A,1.41806879
CYBA,-1.643507138
IQGAP2,1.386758402
PHACTR4,1.541307717
CCP110,1.663939552
AUH,1.536523561
USP33,1.680996779
SMIM24,-1.958836235
THBS1,2.040381784
ITGB1,2.539956087
LSM7,-1.317800269
TRIR,-1.018075981
H3C11,-3.353106123
GIHCG,-1.449828731
CEMIP2,1.680989054
CD70,-1.305286597
EIF3A,1.029659271
THOC6,-0.988923767
ST8SIA6-AS1,-1.652163434
CAAP1,1.808449258
NORAD,1.586445241
ASCC2,-0.805797273
ZNF292,1.788938765
SKAP2,1.673652173
MRPS34,-0.98659088
RASAL3,-1.600534307
PPAT,1.948958435
PAFAH1B3,-1.48443325
MRPL21,-1.10696538
C5orf22,2.116387413
CTSG,-2.141555375
CLK1,1.882313141
MBL1P,-2.732390211
GYPC,-1.10192226
CANX,1.379035554
RPL18AP3,-1.093515348
PFKFB4,1.474553513
PAF1,-1.246187708
TMCC2,-1.567384534
COX7C,-1.083910534
PITPNA,-1.003214996
PPP4R2,1.444817013
ZBTB11,2.239567081
PUS7,1.172407866
CHMP4B,-0.628251198
VPS41,1.901819871
PHF6,1.35912825
HP,-3.156590142
FBXW7,1.307927378
TIMM8B,-1.094704695
CNIH1,1.792010067
PDXDC1,1.480454285
CERT1,1.024200304
PAM,2.186735286
TOMM7,-1.260630011
TNKS2,2.098224436
HLTF,2.715417065
PSMG3,-1.674833735
YPEL4,-0.779738373
COX6C,-1.04012186
PAGE2B,-1.503855951
ZNF318,1.321784525
RPS25,-1.160128659
OSBP,1.684424476
SNX22,-1.644698197
NFIX,-1.553988138
WDFY1,2.029216351
TPM4,1.265009951
PRKD3,2.440580645
MRPS15,-1.214766258
SMIM4,-1.80586456
SLC24A3,1.428989381
AMIGO2,1.849619715
CEP135,2.192982562
FKBP5,1.239493996
ANPEP,-1.377428098
GALNT1,1.785946905
CUTA,-0.951171956
BRCA2,1.649279695
LSM14B,0.817578364
ARMH1,-3.095602968
MAP3K1,2.610617507
CXCR4,-2.10910033
APLNR,-2.01175646
WDR47,2.41850925
AIF1,-1.500929158
LAMC1,1.373240743
POLE4,-1.181706106
PPP2R5A,1.40108464
PHOSPHO1,-1.512837659
FYTTD1,1.737799741
ARMCX3,1.281224834
ITGA4,1.572109818
NSF,1.792476717
FRG1BP,1.46823084
ITPRID2,1.810089875
BATF,-1.346537566
MLST8,-0.865504024
RAB5B,1.466049866
HBA1,-2.674808447
CDCA3,-0.967319254
TNK2-AS1,-3.452793024
IL15RA,-0.960899664
SLC39A10,2.302611045
SP3,1.475631491
LARS1,1.372212855
TNXB,-3.350457304
LMAN1,1.507565339
WWC2,1.296098739
SRRM1,1.304768986
UROD,-1.438128561
ACBD3,1.511215165
UBE2E1,2.368644505
SMC4,2.094857347
MIA2,1.931535762
HBM,-2.516511035
JUND,-0.920621176
DHX36,1.235939285
WASHC4,1.666014442
PPP1R12A,1.877350862
HDGFL3,1.187890648
PGLS,-1.329080977
PRDX2,-0.899092154
LGALS3BP,-1.078143532
RCBTB1,1.265328812
SNAP23,2.485922041
SSNA1,-1.021387802
OAZ2,-1.018519895
CST7,-1.823314122
COG5,1.898382659
TGFBR1,1.264601264
RPL13AP5,-1.779790177
B3GNT2,1.865537031
CEP152,1.495850562
CAMP,-3.73809152
ACTR1A,-0.975558067
GOLPH3L,1.554445957
IL1RAP,3.087802725
MBLAC1,-1.648567831
RAB44,-1.928180508
SRPK2,1.61024586
LRP12,2.222522448
ACLY,1.39931674
TFG,1.471327409
DARS1,2.348010501
ISY1,-1.14035089
PALM2AKAP2,1.329322488
EIF4G3,1.344163781
AGO4,1.310006775
KIF5B,1.497081169
UXT,-1.507009011
UPF3A,0.696174054
RPS19BP1,-1.610069605
SENP1,1.770950357
SGF29,-0.942458259
IFT80,1.986599411
NDUFS7,-1.057087157
PKHD1L1,2.055937484
UBE3A,1.566150008
LINC02908,-2.17722353
IRF1-AS1,-1.900590662
POLR3GL,-1.186175417
CFD,-2.329322183
IER2,-1.356588774
SORT1,1.271555656
CDK8,0.973832774
SON,1.174054295
LDHA,2.145460215
GSTZ1,-1.228651372
TMEM186,-1.360211888
CDK17,1.981037414
KPNA4,0.864064664
TMX1,1.927209248
H2AJ,-1.955035697
HDGFL2,-1.476336986
FAM133B,1.890614998
DNAJC18,2.376074924
UFL1,1.934726106
NEK4,1.407410457
SCYL2,1.665855136
HRAS,-2.006631458
OXR1,1.888704267
H1-5,-3.427178591
IGF2BP3,1.831461713
ST6GALNAC4,-0.95473993
CDCA7L,1.930869132
ATP1B2,-1.709549287
TSPO2,-1.551935395
ECI2,-1.189495315
MXD3,-1.296401324
AVL9,1.248305548
EMSY-DT,-1.661229685
PSMA4,-1.006847176
RPS27AP16,-1.715707009
TARBP1,1.124535325
ADRM1,-0.87799157
ZNF524,-2.232447663
CCDC14,1.494566574
AP3B1,1.523114147
SELENOW,-1.136316869
PPOX,-1.046855867
ABLIM1,1.460706631
RPL22P1,-1.786155282
HSPA13,2.259379109
ITPK1,-0.834407037
PIK3AP1,1.70745553
NDUFB11,-1.599511923
PWP1,1.485611183
COX5B,-1.181433402
TRIM37,1.292213328
LRPAP1,-0.743521868
SNRPD1,-1.157087026
DEFA4,-2.27243869
PJA2,1.99644749
H1-4,-2.895494954
EPS15,1.420972176
ATG4D,-1.126816404
FAH,-0.727308918
KPNA3,1.954361221
ATP5IF1,-1.036466243
OTUD6B,2.228245682
KBTBD2,1.390757633
KIF14,1.975362631
H2AC12,-3.701625088
TTC3,1.469646255
FRRS1,1.675416342
SWAP70,1.22642471
BCAP31,-0.794774535
SNF8,-0.760313041
PDCD4,1.29052428
H1-3,-3.818166615
FCGRT,-1.128880773
H2AC20,-3.157363695
ZDHHC3,-0.740709088
NKTR,1.644260715
