L1	L2	L3	L4	R1_1	R1_2	R1_3	R1_4
id	L1	L2	L3	L4	R1_1	R1_2	R1_3	R1_4
BCAM	6.68424299546045	7.05645416009664	7.3669507778505	7.04348496046752	5.13571544192608	5.23483012252101	4.84136784434153	5.21161837648671
HBA2	11.2502514141336	11.3923887475808	11.8001294110143	11.7258650715723	10.049832890417	9.99449606775624	10.0330426596953	10.218136371885
LINC02772	8.10439203720492	7.94239912112938	7.96943136063822	8.2305636881473	6.87679820287208	6.92369636570145	6.85361781897346	6.95089951582206
ISG20	8.90391029019159	9.09094345887332	9.16191645482216	9.06583459839245	7.86965427521668	8.06148640320165	7.82757970745678	8.00165918790406
ANP32B	16.1142071680847	16.1763852553487	16.2268370308366	16.2823039262393	15.2607657639359	15.2950476704082	15.0223914040223	15.1560326460251
TMEM245	7.78530469131741	7.66459748978233	7.73651667592747	7.67144395363771	8.73517423472226	8.61717051200894	8.79754447140942	8.67606311714618
ADI1	10.4434060816548	10.2637360232755	10.3824770484894	10.3678552848075	9.52283011543975	9.52751537520529	9.44098613957642	9.58778962788587
PIR	10.3866559993863	10.3631590993105	10.5479816919136	10.5130278700637	9.53698917151487	9.61385017475744	9.42296112497367	9.55827812275144
FOSB	6.95006775157151	7.90456718572496	7.19615167329336	6.84384416997797	5.24372672277725	5.05322061360512	5.08986592906122	5.17077847499815
HBZ	9.07668331387879	8.87370488652107	9.18383762438966	9.07706338211247	10.040667062021	10.403957880883	10.2882485803694	10.3991680837686
P4HA1	6.83846078672814	6.40547194891321	6.69738783840213	6.72159465449201	8.08581644080055	7.87068462638302	8.22102557720843	8.10283033903808
NENF	9.38407588543932	9.49653615348041	9.75261930507518	9.70874941521913	8.35027811498898	8.39241629197016	8.04306419469226	8.32425863345499
ACSL4	7.87112460643181	7.45288382620829	7.70543091783191	7.73303709964578	8.96557665911686	8.90391187955854	9.29480721586524	9.07320061160814
RETN	5.61435100049302	6.02590712611105	6.437346355024	6.02899681727816	3.95361389276892	4.09116333917714	3.83210875773519	4.16481423692347
ZDHHC11	7.80135571472423	7.96578502353209	7.74180838021164	7.82044899478389	6.83998672260037	6.82072376058552	6.70029395918483	6.71020210254679
CRIM1	6.48001575625355	6.46718146382289	6.35577661214707	6.07036820093646	7.72180812443251	7.61231638759671	8.00832222483459	7.77835162105529
AGPAT4	7.57304655999024	7.95511825144833	7.73115833024278	7.87788584381118	6.70243260387303	6.51952527067178	6.42630826756054	6.48569089693037
LRRFIP1	9.77787542259374	9.6016211403346	9.4962405912876	9.65243118961205	10.8327082005296	10.5480330488123	11.0079158496002	10.8166334256913
MT-RNR1	11.5074473127025	11.6144806707582	11.5427989461854	11.7477330861148	10.6145109527844	10.7920753918705	10.5238762681469	10.5980241276428
GFUS	11.3617034237399	11.5417536655412	11.486590578968	11.4494937948339	10.5338660638683	10.6895748855203	10.4447875243365	10.6209258395347
CDKN2D	8.32998228232632	8.45615120183987	8.60334038844238	8.67943209517561	7.47317298746862	7.492980168613	7.54031297680797	7.52169118938742
OSBPL6	9.38209665089728	9.1278041931738	9.28738790716853	9.32055541538117	10.1154171623508	10.2043578602084	10.1308013026649	10.1021890477456
HBM	7.9774985798075	8.46367167298939	8.66325246668106	8.61375209141953	6.97165091721112	7.10611612252477	6.763694090634	6.89575823533962
HIF1A	6.82898696704642	6.36596215930241	6.26722686044493	6.51973821130015	7.8785104423111	7.89700481344326	8.2233024179424	8.05526182526713
ZNF524	7.64002675856798	7.75493453307528	7.99985576784586	7.74759753691135	6.4956277114595	6.70204586376167	6.30009940347134	6.34507372945228
DDX3Y	8.12144824387134	7.64498666056128	7.75143947858791	8.03611418626084	9.38052242742771	9.1586041466199	9.67751881075297	9.33336429519336
NDUFAB1	9.53417734013398	9.75316757094264	9.89258084008709	9.69834462374192	8.62203798641751	8.82935473792786	8.59024973941326	8.73425736123277
NOC2L	12.3642418319653	12.8812198906096	12.6966151638354	12.5609032191356	11.4881711651915	11.6199365124128	11.4201120913533	11.5219422824143
FBN1	7.54303939269749	7.58983349596174	7.26201569113174	7.56365350580772	8.82793177938353	8.5136406884505	8.97387256302878	8.68934168398617
