,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADAMTSL2,2.52436279936234,-2.34226209226086,1.59653295690175,-1.46709285400928,0.14235079781305,0.238724504710137
TP53I13,90.5768218806213,-0.416186793951813,0.283705151793832,-1.46696946220509,0.142384362788678,0.238728808150978
SLCO4A1,11.9112489508876,-0.646138705357201,0.440470426752395,-1.46692868831446,0.142395455417236,0.238728808150978
PRR19,4.36121447812555,-1.15047133697087,0.784255064183851,-1.46696067327041,0.142386753782012,0.238728808150978
LINC02615,66.6116104050832,-0.354580744175343,0.241743226877956,-1.46676599280423,0.142439723702254,0.238779497418113
TUBB4A,1.95170925232019,-1.78442586088688,1.21674516267968,-1.46655677426897,0.142496666098883,0.238851420911486
SMPD3,3.23118588049692,-1.38372930479903,0.943559009211457,-1.4665000188546,0.142512116066971,0.238853787911694
CFLAR,624.588288379175,-0.187068414421935,0.127594711183232,-1.46611417265796,0.142617185273276,0.239006343684113
FGF14-IT1,1.16071156884468,2.27647088045619,1.55324716394131,1.46562049704937,0.142751704047692,0.239208217881769
DVL3,527.310154091508,-0.249783691164014,0.170527007009484,-1.46477496758107,0.142982323625801,0.239571072032792
MLF2,443.262660229243,0.18853586397272,0.128727851070702,1.46460818233631,0.143027848322766,0.239623753368636
ZBTB20,19.8601406873602,-0.61164558217425,0.417638993553198,-1.46453178849628,0.14304870403944,0.239635098870835
RBM44,1.33574841966451,2.44436856005678,1.66966323138136,1.46398897341381,0.143196961171311,0.239859843899375
PRNCR1,2.24413954020061,-2.23361394478345,1.52597488549253,-1.46372916488892,0.143267963443583,0.239931535235489
HGSNAT,82.4463460990637,0.376172781535653,0.256990940217164,1.46375892168719,0.143259829930414,0.239931535235489
AMACR,9.95540624181335,0.813535197971615,0.555924216306728,1.46339226482401,0.143360074042098,0.240062165124131
SHC3,2.77843722783662,-1.41259152010686,0.965586704684431,-1.4629359675872,0.14348490100407,0.240247548768377
DNAH2,5.73491465405363,-1.65812898635606,1.13349665220318,-1.46284418496794,0.143510019586476,0.240265963127412
CACYBP,3703.1622890416,-0.199570101968707,0.136430930145063,-1.46279221109547,0.143524245017033,0.240266138229518
RNPS1P1,5.1057069999683,1.17371640817997,0.802473555504465,1.46262316076214,0.143570522164424,0.240319964055846
JAZF1-AS1,4.3099053797633,-1.27687193391745,0.873036421130414,-1.46256433639291,0.143586627886585,0.240323246574571
RPL15P2,9.08089779647941,-0.781190169563952,0.534142439246707,-1.46251282834903,0.143600731585287,0.240323246574571
EIF4ENIF1,596.56297182373,0.198522498416662,0.135751025165582,1.46240146749916,0.143631227539361,0.240350642858205
CCT6P3,38.4707586848416,-0.401358679301641,0.2745060640574,-1.46211225125328,0.143710452051996,0.24045096478647
C12orf60,33.4014843713782,0.500321202801149,0.342198371339059,1.46207943902053,0.143719442367229,0.24045096478647
CLN5,28.8711248933015,-0.544746334257751,0.372634548328751,-1.46187823083209,0.143774581392482,0.240519565666412
UBE2J1,463.7910170685,0.243864275096913,0.166862375054775,1.46146951951787,0.143886634448122,0.240652716393891
ITGAM,77.9088352454744,-0.416111201492006,0.284719179820093,-1.46147934872156,0.1438839388697,0.240652716393891
GOSR2-DT,4.3820095500613,-1.36514771676756,0.934115737170844,-1.46143316341311,0.143896605147896,0.240652716393891
WDR41,189.91004181102,0.29792247978511,0.203864783932031,1.46137294553255,0.143913121130112,0.240656683639199
SLC7A5,686.854919136107,-0.39332375595884,0.269164667289517,-1.4612755824143,0.143939828026448,0.240677690042257
HNRNPA3P12,5.41004169975533,1.04757051199032,0.71728316679537,1.4604699517355,0.144160959953817,0.241000072078424
UBE2E3,265.37970007855,-0.237629681311944,0.162707483898463,-1.4604717350324,0.144160470181697,0.241000072078424
MEF2C,108.111771525577,0.427505336960254,0.292849107955255,1.4598143731603,0.144341097241047,0.241277509534965
SNRPA1-DT,1.3563398129064,-2.10671704055648,1.44332069419284,-1.45963197855667,0.144391245573651,0.24133762705655
AZGP1,29.4007683338532,0.793113505270795,0.543394520539398,1.45955374096065,0.144412760636536,0.241349879405821
ZNF350,126.347915687693,0.357211059726987,0.24481910622125,1.45908162659562,0.144542642573652,0.241540046081335
OVOL3,2.04437835342967,-4.97499927651976,3.4097829324082,-1.4590369460868,0.144554939127019,0.241540046081335
TPST2,561.823820334912,0.186346437419684,0.127727732914379,1.45893482306306,0.144583047484287,0.241563290744811
AKR7A2,280.966250380352,-0.200604033545089,0.137553954310896,-1.45836617020612,0.144739640186587,0.241801176021087
ASS1P1,5.61307515824274,-1.9038968793592,1.3059686986452,-1.45784265835336,0.144883917046241,0.242018441836028
PLCD4,1.68813139970071,-1.89921679079807,1.30286620730747,-1.45772204401789,0.144917173275693,0.242050231008728
CHKB-CPT1B,7.26654400651127,1.00455960211902,0.689178435636733,1.45761902893974,0.144945581603043,0.242073917449526
HMGB1P24,4.08314805046872,-1.39827283420398,0.959333331480642,-1.45754639010184,0.144965615680694,0.242083614761705
ANO10,158.053719927184,0.332937147845935,0.228476866930141,1.45720287711987,0.145060386651352,0.24219433606837
SLC9B1,15.3468861371913,0.668064258024994,0.458441157207217,1.45725192322344,0.145046852536224,0.24219433606837
HJV,6.27984421739172,0.958975865824579,0.658238905669256,1.45688116816728,0.145149185189466,0.242318817307572
CSTF3-DT,4.65689071290245,-1.52428471197048,1.04630440973226,-1.45682718890627,0.145164088695897,0.242319922413489
H1-10-AS1,27.3269874568832,-0.641708595232569,0.440742694066336,-1.45597103224129,0.145400627643148,0.242690963247808
MICAL2,770.923025808082,-0.249423119211976,0.17138074750259,-1.45537420536812,0.145565693471497,0.242942645847721
SUCO,250.524472699779,0.332093520331718,0.228232085817884,1.45506938317476,0.145650054204996,0.243045999766165
GOLGA8R,36.5013444573657,0.684079033772998,0.470142153499769,1.45504722067713,0.145656189222192,0.243045999766165
PPIAP11,15.4829212935231,-0.673979659195606,0.463282494711985,-1.4547919830526,0.14572685829952,0.243140075893934
HSP90B1,17206.3114925756,-0.19683721337352,0.135322862793011,-1.45457470608348,0.14578703767708,0.243216633598932
AQP11,3.14503403589496,1.4976863533442,1.02992044050087,1.45417674458024,0.145897310726176,0.243299459799424
RACGAP1,560.771627946541,0.206076902295081,0.1417131333034,1.45418351490317,0.14589543417144,0.243299459799424
PLEKHH1,4.41794288845984,-1.20292422726405,0.82724240475073,-1.45413753013124,0.145908180299343,0.243299459799424
HERC2P10,3.34739548420578,1.48206808432125,1.01911866325362,1.45426449123169,0.145872991103394,0.243299459799424
ADAT3,6.38872921138927,-1.32313033930764,0.90980632461606,-1.4542989024241,0.145863454638192,0.243299459799424
RPS3AP13,2.24429575557938,-2.41896519257147,1.66369350392612,-1.45397285429257,0.145953832386416,0.243351735233206
ZNF530,48.5106528673912,-0.37410603865032,0.257330771846916,-1.45379441395712,0.146003312662549,0.243395833647806
RNF185,127.781434764252,0.266120534129043,0.183054917073722,1.45377430108511,0.146008890628455,0.243395833647806
APCDD1L-DT,2.7252507211731,-1.49509178072975,1.02875574610365,-1.4533010254303,0.146140192730011,0.24359084828577
SPAG17,4.236163889658,-1.27871256674233,0.880094196894668,-1.45292693810975,0.146244040676822,0.243651776758809
ZNF502,17.8674235371429,-0.617610414455342,0.425086455760951,-1.45290541743973,0.146250016607256,0.243651776758809
TRIB1,47.0360093142074,0.468346884732875,0.322362049233568,1.45285986934999,0.146262665166881,0.243651776758809
ZBED5-AS1,24.9076797950664,0.537725674567102,0.370115063773003,1.45286081870177,0.14626240152637,0.243651776758809
KLRK1-AS1,2.70531392489928,-1.68083624211706,1.15677707783608,-1.45303384232103,0.146214357933245,0.243651776758809
MBTD1,57.9442241591983,0.442666216183939,0.30464282798836,1.45306626486823,0.146205356484824,0.243651776758809
MED24,812.562899218879,-0.188111331173339,0.129486458152124,-1.45274906625634,0.146293438328435,0.243679182883831
GSR,820.405087531021,-0.224279870254075,0.15443558053921,-1.45225516989676,0.146430667615336,0.243883888946255
LHX1-DT,1.59784047335591,-2.39152531949526,1.64720974426,-1.45186448042149,0.146539290580424,0.244040915065667
PCBD2,87.1310497454756,0.288120502825905,0.198553573266464,1.45109704190133,0.146752840121173,0.244372634044016
GLT8D2,1.85320821822631,-2.13961718804892,1.4750027292095,-1.45058524006638,0.146895387747006,0.244586067375997
GOLGA6L7,1.86614434574152,-1.69862414238539,1.17105324103759,-1.45050974871164,0.146916422643024,0.244597155701669
MIR331,1.57268005405546,2.78485832834451,1.92074340295448,1.44988566617532,0.147090405122118,0.244862855215032
RIC3-DT,6.75045316121104,-1.11790900195208,0.771167510435181,-1.44963187222608,0.147161203148207,0.244956747365168
LRG1,15.2874225295385,-0.720821366784003,0.497342394089298,-1.4493463162414,0.147240892616666,0.245065419922975
ZNF486,5.69340445302676,-0.984372030350011,0.679407159368941,-1.44886908649054,0.147374145689791,0.245263212921732
TM2D3,116.247543767647,0.279946335159518,0.193232008616688,1.44875756953313,0.147405296968111,0.245291063854514
MAP6,2.82344198125889,-1.5420031870847,1.06447853170075,-1.44859961113635,0.147449429866796,0.245340509405783
ASCL2,1.47944905980848,-2.25441154797493,1.5572844444412,-1.44765560076206,0.147713392898611,0.245755683990405
MAIP1,87.2590814601908,0.286976950496533,0.19827609880424,1.44736028309629,0.147796043379319,0.245869151163387
CDPF1,88.5880041669178,-0.380340358053492,0.262883731156334,-1.4468006687995,0.147952759418547,0.246105797390418
JCAD,2.1674495461985,-2.26855425419988,1.56849057300473,-1.4463295433482,0.148084793193923,0.246279733283211
CARMIL2,33.6865604545846,-0.54205628861094,0.374781992555013,-1.44632426151417,0.148086273947724,0.246279733283211
SMCO2,7.19616466692763,-1.19603319351245,0.827131613097269,-1.44600106509507,0.148176903076844,0.246406372737734
LINC00265,5.89516106559526,-1.01254888629795,0.700334251539721,-1.44580803248136,0.14823105252728,0.246472330572821
HNRNPLP2,19.683871362885,0.551993259539606,0.381874502212361,1.4454834149483,0.148322148221688,0.246599702168459
PKP3,1.70670233510855,-2.34409948408077,1.62178074070239,-1.44538618892807,0.148349440563358,0.24662098008652
FAM177B,4.58557746719848,-1.67108134847639,1.15666765608345,-1.44473768215736,0.148531581198987,0.246891738764565
TDGP1,1.17097063080736,2.1941589710123,1.51879918228869,1.44466694254201,0.148551459565057,0.246891738764565
PHB,1675.0072504972,-0.233264919364512,0.161467968486782,-1.44465135438678,0.148555840227541,0.246891738764565
ZSCAN29,773.684661345335,0.285340567995211,0.19752447911736,1.44458332086361,0.148574960508329,0.246899399653211
MIR93,1.63877731271711,-1.93246000842023,1.33818185488074,-1.44409371668879,0.14871261529951,0.247104018488395
C15orf65,3.35546877769329,1.33498256879749,0.924659512439222,1.44375583751456,0.148807668584637,0.247237816713954
LMCD1-AS1,1.32331545239051,-2.77666680444473,1.92395664463574,-1.44320653596143,0.148962298908442,0.247470563945239
SYT5,6.57012577454801,-1.26977026258168,0.879903758599921,-1.44307857555025,0.14899833782458,0.24750626946063
ZDHHC5,646.119141043954,-0.167547369185826,0.116108616018082,-1.44302270522054,0.14901407529527,0.247508247866948
CDC14B,15.1221935814348,0.939135071366677,0.65099614144069,1.44261234680795,0.149129703325529,0.247651952184645
CDKL1,44.4927550173087,-0.366742216819556,0.254215660279801,-1.44264211109538,0.149121314242235,0.247651952184645
PRKG2,2.97131797583462,1.44423492144671,1.0012563003814,1.44242280512649,0.149183134219943,0.24771650519687
PARP16,26.4514936537047,0.5627525607199,0.390219671208894,1.44214298314717,0.149262041405103,0.24782334450701
NARS2,98.8152809009832,0.53472856354427,0.370982014980008,1.44138675718036,0.149475449427639,0.248153456143162
MYC,1271.93738763891,0.290503449358716,0.201559137098206,1.44128146975135,0.149505180141967,0.248178599035665
TDRKH-AS1,2.83358525957011,-1.46307075597559,1.01520923156822,-1.44115194235925,0.149541761846234,0.248189312479568
ARMC10,99.9405535177814,0.365174173852411,0.253408039752516,1.44105204479324,0.149569980027358,0.248189312479568
