id,GSM1618288,GSM1618289,GSM1618290,GSM1618291,GSM1618292,GSM1618293,GSM1618294,GSM1618295,GSM1618296,GSM1618297
CELA2B,6.226905,6.09456,6.076366,7.763433,7.369288,7.090399,7.061531,6.903655,6.57303,6.468005
WDFY2,9.546511,9.660779,9.727635,8.595246,8.034983,8.474783,7.561607,7.743149,6.83333,7.16239
GOLGA8R,8.151761,8.323104,8.848389,6.992083,6.915185,7.08961,6.951913,7.065549,7.143012,7.508312
UBL3,8.388428,8.812019,8.964512,7.210939,6.772395,6.597377,6.512683,6.021877,6.332653,6.846786
SNORD104,12.03999,11.69343,12.05884,10.84215,10.82347,10.6539,10.61594,10.76451,10.4497,10.86562
BIRC3,6.891131,7.370174,8.425522,5.112261,4.722172,4.400832,4.69483,4.396552,4.750963,4.775087
NET1,8.968369,9.367363,8.815596,10.43402,10.32854,10.08235,10.18949,10.07077,9.472893,9.573723
IL17RA,9.626999,9.212639,9.027507,8.029373,8.071499,7.861798,8.153522,7.810824,7.844634,7.747856
ADPRM,7.419858,8.006873,8.067089,6.459188,6.089854,5.805922,6.059016,5.736049,5.974311,5.874645
CHEK1,7.968771,8.391757,8.442217,9.390546,9.218298,9.290642,9.160418,9.186437,8.72393,8.731478
ZNF792,8.714924,8.931852,8.586642,7.730494,7.744884,7.574791,7.355327,7.009761,6.505342,6.284404
KCNT2,4.215254,4.806337,4.353522,3.260101,3.365471,3.124032,3.295759,3.254856,3.569667,3.707943
CLP1,6.355359,6.674446,6.552577,7.550499,7.874707,7.497566,7.883053,7.563198,7.082991,7.090723
OTTHUMG00000031663,7.853187,8.020527,7.693519,6.578247,5.932542,6.576549,6.435073,6.629323,6.287592,6.567323
