	proerythroblast	early_basophilic	late_basophilic	polychromatic	orthochromatic	red_cluster
CNTRL	11.9146344053321	12.1799090900149	11.9908130791536	11.5472160408866	11.5472160408866	4
BCCIP	13.4317587491662	13.4089042096677	12.6342059440963	10.885187680289	10.885187680289	2
TAZ	11.1234747982441	11.3923174227788	11.2219900288146	9.51898099471765	9.51898099471765	4
ORMDL1	10.9314762338868	10.9398238053154	10.5584207132687	9.36705059134172	9.36705059134172	4
HEXA	12.487923669534	12.1088511170402	11.2011026761818	8.75042796563647	8.75042796563647	2
LOC100125556	6.38082172623313	6.18322189023444	4.87446895397351	1.87446924907023	1.87446924907023	2
PWP2	12.5160282012697	12.4128344401193	11.4733673563526	9.56414948998573	9.56414948998573	2
PKIG	11.8224381861312	11.1992631551835	10.1357092861044	7.23202080264615	7.23202080264615	2
ARMC1	12.3873891994784	12.5910547740368	12.3702332241761	11.4332375041896	11.4332375041896	4
TMEM194A	13.7129213662899	14.0068230809533	13.9327988366092	12.7226651753902	12.7226651753902	4
POLG2	10.0665372714718	9.94641900853485	9.12756441374161	6.84130267336897	6.84130267336897	4
CASP7	9.35608503223717	9.38945216078889	8.70274999424389	7.25108753864869	7.25108753864869	2
SERPINB6	11.9575856407043	11.4196089388934	10.6483575820097	9.02698453328381	9.02698453328381	2
PIK3CB	12.4189067312579	12.386131937315	11.7463744955477	9.65403931673392	9.65403931673392	4
FAM72A	7.54946356279244	8.37793364917472	9.03250505640595	7.79441586635011	7.79441586635011	3
BCL6B	5.34577495509542	4.32192809488736	2.50250042539359	1.73696544989669	1.73696544989669	2
IPO9	13.5044875665882	13.7849752372636	13.5872700465212	12.4665014558144	12.4665014558144	4
GRPEL2	11.3865808736112	11.7188183901275	11.5654196267741	10.4008794362822	10.4008794362822	4
ZNF136	9.94251450533924	10.2522715939046	9.97345773420027	9.15650456994956	9.15650456994956	4
ITFG2	10.5887146355823	10.5777432031058	9.79062006606724	6.70505588528646	6.70505588528646	4
CRTC3	12.419696888306	12.5106818459242	12.400078902622	11.266200912499	11.266200912499	4
MACF1	13.3088125500643	12.8014389902849	11.5341408984966	9.09363755035542	9.09363755035542	2
HEYL	5.36923369331934	5.01495019273452	2.73696566630096	0	0	2
BSPRY	11.1378448170319	10.6969675262343	10.0620461377205	9.34651373316563	9.34651373316563	2
AMN1	7.2447605514407	7.22881869049588	7.09099417948338	5.35755200461808	5.35755200461808	4
FAM173A	9.13271383667451	9.06877827798541	8.46896324509075	6.87446870805954	6.87446870805954	4
SPATA6	5.33390061732244	4.05889397759255	3.54432092842233	1	1	2
KLHL7	12.3079598177487	12.6571694825111	12.4971033570169	10.567005370247	10.567005370247	4
RASSF5	11.2161395564251	11.0182001788132	10.0530203503754	6.01495041583169	6.01495041583169	4
MELK	12.0055077114258	12.7862016167803	13.1116247470373	12.5260915590602	12.5260915590602	3
ARHGAP11A	12.9054496232432	13.4933964051015	13.8165507098108	12.9524378635447	12.9524378635447	3
TEX264	10.3368780645247	10.1288540090146	9.41925803583536	7.28540221886225	7.28540221886225	2
PPBP	3.8073549220576	5.55458885167764	5.39231742277876	7.80520667048572	7.80520667048572	1
CHKA	12.4093026214037	12.20864070696	11.2427769496408	10.0297468833509	10.0297468833509	2
LOC284889	8.67124630576984	8.01680828768655	7.11894107272351	5.08746284125034	5.08746284125034	2
IL2RG	8.89279566455197	7.33390043847592	5.95419631038687	3.36923376312717	3.36923376312717	2
MRPL12	12.8222387976269	12.7802664168916	11.8191145024301	8.98394355880429	8.98394355880429	4
CLIC5	2.73696566630096	2.4150374091104	2.32192809488736	0.736965623020107	0.736965623020107	4
GFM2	12.0920964149908	12.3097605447296	12.0214425963019	10.7479135100777	10.7479135100777	4
PIEZO1	15.4796012420486	15.239088677971	14.2032715222078	13.0804289933544	13.0804289933544	2
C1RL	8.10852445677817	8.30682135435978	8.71080643369935	6.90689059560852	6.90689059560852	4
C12orf4	11.3001620570895	11.9232037887033	11.9394569032623	10.8052061867206	10.8052061867206	4
EPS8L1	7.10852445677817	6.61960859462313	5.83289001416474	3.36923376312717	3.36923376312717	2
KRBA1	8.3604814819747	7.48112695889611	5.85798099512757	2.32192809488736	2.32192809488736	2
HSD17B8	10.684163886148	10.6865005271832	10.0892293259633	7.7900767133524	7.7900767133524	4
GUSBP2	4.90689059560852	5.07324912487173	4.43740553426036	3.41503754436306	3.41503754436306	4
NME6	9.85070770813254	9.22560921434822	8.11026561674623	7.02236781302845	7.02236781302845	2
INO80E	10.7062084864488	10.6525465462079	10.2550285698187	8.63057037768765	8.63057037768765	4
TMEM185A	7.91687488317355	7.65821148275179	6.93073733756289	4.48112647440898	4.48112647440898	4
NARG2	12.6797000057692	12.9727405731398	12.7329447533548	11.7136730491944	11.7136730491944	4
PIR	9.41925803583536	9.30454138663892	8.71424551766612	7.14635686976152	7.14635686976152	2
BEND4	8.86624871416081	7.69116213724581	5.70965815627906	1.87446924907023	1.87446924907023	2
RUVBL2	14.1271883010432	14.063114436325	13.4622888176932	11.3309168781146	11.3309168781146	4
FAM200A	9.51504278942799	9.45327063401062	8.94251450533924	7.97727992349992	7.97727992349992	2
ZNF673	8.90689059560852	8.93761893245787	8.37937836707126	7.4539562142945	7.4539562142945	2
NCOA4	14.3711640494209	14.8147992343764	15.3289904122555	17.5598080002389	17.5598080002389	1
ATRIP	11.0039865537592	11.1628111095606	10.9230800813808	9.87907270253761	9.87907270253761	4
CHCHD4	10.3663222142458	10.0237543532994	8.75711227842552	6.3159043676234	6.3159043676234	2
TSPAN17	14.1251979219424	14.7390596094203	14.5306300642911	11.6376813338052	11.6376813338052	4
PGBD4	8.18156624224107	8.24792751344359	7.46216113867166	6.04439411935845	6.04439411935845	2
TUBB	17.0757298277269	17.4962663149311	17.4681491009646	16.5688022700707	16.5688022700707	4
METTL1	10.6917435191713	10.609178738142	9.3612128131243	3.90689059560852	3.90689059560852	4
MTSS1	13.1911621062423	12.7803347081239	11.6042441794117	9.95613406621578	9.95613406621578	2
CYP4F2	0	0	0	1.87446924907023	1.87446924907023	1
TCEAL8	10.1885888457073	9.81324681419864	8.90789201933596	7.49185309632967	7.49185309632967	2
C7orf53	3.36923376312717	4.29768079316525	3.54432092842233	4.19639695049529	4.19639695049529	1
HINT1	13.6203343933091	13.7253662578956	13.5223767834908	12.4410422287399	12.4410422287399	4
LOC100506472	7.2884813041833	7.29462074889163	6.38658111070751	4.87446895397351	4.87446895397351	2
DDX20	11.952134416091	12.0163441414849	11.4304525516655	9.46079722890632	9.46079722890632	4
WDR11	12.8707500033461	12.9503129366601	12.5501857083717	11.2636606353013	11.2636606353013	4
MRPL46	11.1873520732005	11.1902364339821	10.5529889138932	8.68182415707561	8.68182415707561	4
ZNF252	10.4682849646489	10.5494641403839	10.185701805102	8.76708103545645	8.76708103545645	4
FGFRL1	10.0790407067554	9.88162378601946	8.17658856551421	4.8073549220576	4.8073549220576	2
NAGPA	10.7537741603653	10.5977425201215	9.69754674760338	7.32493028311226	7.32493028311226	2
ZBTB9	10.7050560581333	10.4090376447597	9.23521654148911	7.40655962879165	7.40655962879165	2
RUFY2	9.28463141962786	9.403012023575	9.30149619498255	8.5378656234762	8.5378656234762	4
ELAC1	8.35314682549808	8.51832543884495	8.33687828762188	7.11200467787573	7.11200467787573	4
SNX32	5.89885335714059	5.6244907674284	3.27301854415452	0.415037463211467	0.415037463211467	2
LRRC69	4	3.54432092842233	3.41503754436306	1.41503767961571	1.41503767961571	4
LINC00346	0	0	0	4.05889397759255	4.05889397759255	1
ECH1	14.3468599605884	14.2024299660154	13.3821281838105	10.8734441125154	10.8734441125154	4
LPIN2	13.4284033586838	13.624110035763	13.7312479553274	16.350732041623	16.350732041623	1
DPP7	12.9579485056877	12.8383504793513	12.0660891904578	9.14125574377604	9.14125574377604	4
BCL7C	10.1947568544222	9.89228977261367	9.17658881482787	8	8	2
FLVCR1-AS1	7.97537052457671	7.7437122022374	7.06967316981792	3.16992500144231	3.16992500144231	4
