"Gene"	"hs_proerythroblast_1"	"hs_proerythroblast_2"	"hs_proerythroblast_3"	"hs_early_basophilic_1"	"hs_early_basophilic_2"	"hs_early_basophilic_3"	"hs_late_basophilic_1"	"hs_late_basophilic_2"	"hs_late_basophilic_3"	"hs_polychromatic_1"	"hs_polychromatic_2"	"hs_polychromatic_3"	"hs_orthochromatic_1"	"hs_orthochromatic_2"	"hs_orthochromatic_3"
"153"	"NFKB1"	14985	2193	2578	10814	2178	2188	4183	1177	1109	121	34	29	61	12	6
"154"	"GORAB"	466	69	105	298	46	61	78	38	22	5	3	3	0	0	2
"155"	"ACPL2"	412	63	85	314	44	87	95	23	31	0	0	1	0	1	0
"156"	"LOC100499484"	161	31	55	127	22	57	98	37	40	6	1	2	0	0	0
"157"	"PON2"	3444	675	766	3369	737	712	1788	581	489	47	15	17	24	6	3
"158"	"SPIN2B"	598	119	234	455	138	195	192	146	141	19	23	19	5	3	11
"159"	"FZD3"	3767	558	481	2448	422	335	886	230	105	49	7	10	3	0	4
"160"	"C9orf123"	3848	538	669	3053	489	626	1166	277	248	27	13	4	7	4	7
"161"	"HPGD"	1754	289	655	1144	294	412	638	149	208	15	8	9	19	3	2
"162"	"TIPIN"	2446	345	444	2665	373	420	1328	283	295	112	24	26	5	3	1
"163"	"ZNF502"	90	50	82	91	32	84	49	17	42	8	3	10	0	0	3
"164"	"UBE2Q2"	7446	1693	1811	7343	1554	1687	4526	1106	1262	240	102	44	47	10	21
"165"	"DPY19L2"	818	159	290	614	153	313	172	106	141	9	2	0	6	1	0
"166"	"ZFYVE9"	1039	184	173	887	225	185	535	209	113	14	6	9	6	1	1
"167"	"FAM171A1"	9217	937	1254	5723	745	853	1686	312	290	44	7	10	12	7	4
"168"	"TMEM14A"	2516	292	411	1590	239	313	464	78	126	7	6	2	8	0	1
"169"	"ZNF512B"	9770	848	1642	6092	689	1169	1634	281	333	14	5	4	17	10	6
"170"	"PHKA1"	1755	153	324	1416	150	231	675	73	135	7	1	4	2	0	0
"171"	"STOX1"	213	57	35	186	64	49	91	56	37	10	6	2	0	1	0
"172"	"ACCS"	445	72	139	346	83	123	148	87	42	4	1	1	4	0	0
"173"	"TNFRSF21"	3019	271	532	2381	244	476	612	103	107	4	1	3	4	2	3
"174"	"HMOX1"	289	10	58	112	13	20	48	6	9	1810	350	675	162141	16650	23800
"175"	"LOC646762"	4836	1069	1555	3339	906	1143	1675	541	456	272	116	145	43	40	39
"176"	"SLC27A2"	5031	525	764	3622	508	547	1274	285	246	44	13	15	13	2	3
"177"	"C6orf108"	5818	718	1019	4568	632	1027	2651	594	595	90	24	27	21	4	4
"178"	"CCNE1"	15738	2431	2886	23256	3978	4017	16858	4314	4874	1521	415	575	60	36	34
"179"	"RANBP17"	1332	156	222	1437	196	213	755	200	145	35	10	10	2	1	1
"180"	"SUCLG2"	6369	1118	1299	5459	989	1042	2898	722	756	278	68	58	30	8	11
"181"	"EXTL2"	3560	472	655	2143	426	525	695	246	241	14	8	5	24	4	3
"182"	"GLMN"	1364	278	232	1366	299	276	710	205	194	127	41	42	6	4	3
"183"	"RCN3"	1255	133	340	935	71	287	260	48	86	3	1	3	4	0	0
"184"	"ICA1"	11057	1555	2210	6614	1010	1298	2621	432	479	74	10	4	24	3	4
"185"	"OSBPL7"	1838	190	465	1013	149	355	311	55	79	10	2	6	2	4	4
"186"	"STAC"	578	83	140	353	57	96	89	35	25	10	7	4	3	1	1
"187"	"FAM124B"	2816	301	557	2043	253	343	648	85	105	6	1	2	8	0	0
"188"	"NUBPL"	1502	280	341	1521	323	288	779	257	172	19	5	8	6	1	7
"189"	"GGCT"	9067	1431	1820	8644	1471	1916	4748	1072	1379	430	83	108	41	13	16
"190"	"NUP62CL"	1711	284	505	1819	339	455	1143	331	327	82	31	34	12	2	7
"191"	"ZNHIT6"	4848	879	1081	4670	991	975	2130	674	629	188	37	39	28	7	12
"192"	"AIG1"	1487	322	318	1313	266	237	637	224	172	18	9	14	12	6	3
"193"	"SLFN11"	20562	1887	3435	16963	2226	3056	7387	1405	1771	570	129	167	40	21	25
"194"	"RAG2"	647	78	261	336	46	113	91	18	30	6	0	1	2	0	0
"195"	"DENND5B"	2902	345	540	2950	402	466	1598	298	315	97	22	23	8	2	1
"196"	"TCP11L2"	44	5	22	392	16	14	1916	86	49	35210	6544	11219	92480	15863	20690
"197"	"PPARGC1B"	4605	321	756	3670	454	668	1000	179	342	8	4	4	10	0	3
"198"	"LOC100131289"	179	27	50	159	26	43	73	18	19	3	2	2	0	0	0
"199"	"KIT"	51770	4805	7896	25146	2819	3943	5487	720	788	52	11	8	99	12	5
"200"	"PFAS"	40999	3553	5424	36984	4733	5423	16484	3359	2882	282	71	82	75	25	34
"201"	"ZNF30"	253	51	55	185	31	50	119	19	23	2	0	0	0	0	0
"202"	"ME3"	835	128	265	705	123	200	341	91	70	12	4	2	4	1	2
"203"	"NTHL1"	2642	180	455	1860	193	346	667	104	163	7	1	2	4	1	0
"204"	"FAM102B"	15419	2316	2760	13305	2351	2094	7344	1702	1389	308	117	98	61	28	31
"205"	"NEFH"	4545	587	604	2950	445	472	1008	206	188	22	4	3	8	6	2
"206"	"MAGEF1"	2267	286	444	1213	191	276	504	128	138	25	3	10	3	6	4
"207"	"CDK6"	64698	10247	10080	38800	8700	7332	13021	3800	2863	1434	237	230	279	48	58
"208"	"RPGRIP1L"	1369	193	292	1341	240	223	643	145	144	23	4	4	2	4	1
"209"	"RPS6KL1"	9613	1205	2397	11647	1727	3275	7967	1668	2642	34	13	12	60	15	15
"210"	"LOC100506433"	58	28	23	28	22	7	13	7	6	3	0	0	0	0	0
"211"	"LPIN3"	887	84	187	853	108	183	439	91	86	10	2	3	2	0	0
"212"	"ZNF205"	347	153	328	391	167	292	230	171	245	39	25	42	23	5	6
"213"	"SAMD10"	889	58	150	512	44	113	121	15	27	1	0	0	0	0	0
"214"	"S100A4"	61431	8722	8131	52908	9405	7415	24618	6126	3828	115	15	19	143	59	41
"215"	"NREP"	4705	604	808	3216	496	662	1156	314	327	26	6	6	20	1	5
"216"	"CAND2"	662	71	175	404	84	125	179	36	85	8	1	6	2	1	0
"217"	"DNAH14"	1025	250	311	767	186	237	313	65	92	19	1	1	3	3	2
"218"	"TCTN2"	2440	246	544	1964	256	349	864	181	194	13	6	8	11	0	1
"219"	"WNK2"	512	68	69	327	51	44	63	21	11	0	0	0	1	0	0
"220"	"CCDC112"	3406	1007	959	3268	893	853	1703	595	469	80	23	16	41	15	17
"221"	"B3GNT7"	187	68	94	260	140	158	394	163	131	96	23	10	1	2	1
