ID	entrezID
MED6	10001
WDR82	80335
MED20	9477
LCN1	3933
CCT3	7203
RIF1	55183
SMC3	9126
RPRD1B	58490
RBM17	84991
STRBP	55342
SF3B5	83443
CD44	960
P4HA1	5033
SF3B4	10262
RCOR1	23186
SPTBN1	6711
CSTF3	1479
PIN4	5303
ZNF207	7756
HSP90AB1	3326
TAF15	8148
RUVBL2	10856
TRERF1	55809
SMARCD2	6603
PTBP1	5725
HNRNPA2B1	3181
HNRNPH1	3187
NPM1	4869
SNRPA1	6627
DYNLL1	8655
DOCK2	1794
CDC2	983
SUMO2	6613
P4HB	5034
ACTC1	70
TBL1XR1	79718
LDHA	3939
SYNCRIP	10492
HNRNPL	3191
PRMT1	3276
TIAL1	7073
C11ORF31	280636
HNRNPH3	3189
PABPN1	8106
ELAVL1	1994
PSMD1	5707
HNRPA1L-2	664709
RPN2	6185
FLII	2314
RUVBL1	8607
PRPF3	9129
TPR	7175
ERH	2079
MSN	4478
CCT8	10694
INTS4	92105
FUBP1	8880
ARPC2	10109
FARSA	2193
SPTAN1	6709
SNRPD3	6634
PPP1CA	5499
TRA2A	29896
PTMA	5757
PFN1	5216
GTF3C3	9330
