"","x"
"ELAVL3",0.990010609183039
"CSDC2",0.407916586935551
"SESN3",0.974004558371837
"MGP",0.917914022707897
"REM2",0.994624822783426
"BPGM",0.994941530050061
"SLC6A19",0.754312156264511
"PIK3IP1",0.980674893273011
"RNF175",0.961405522846598
"TRIM58",0.945375308851024
"RIOK3",0.992798873978621
"HBE1",0.966121090089772
"FTCD",0.800520973582229
"EML1",0.929553568525597
"LRRC2",0.985339067628243
"KIAA0319",0.538247143987388
"OR2T33",0.540665152381611
"ABLIM1",0.78576287677574
"KIAA1683",0.782395630357061
"C19orf77",0.99241976192482
"SLC6A18",0.940260316079119
"MERTK",0.976465403938987
"CILP",0.934868458822936
"PRPH2",0.9295298411245
"GABARAPL1",0.992971133146149
"LOC730227",0.941275238888007
"TBCEL",0.931976408435858
"FOXI1",0.934143137623684
"MYO5B",0.955122881445945
"MIR4742",0.862802535522726
"IL10RA",0.860508035373464
"MIR29B2",0.934143137623684
"TUFT1",0.990944716366195
"VIL1",0.83565681216221
"CDKN2D",0.820387448139838
"ACSL6",0.672904488656178
"CHRNA2",0.934143137623685
"BCL2L1",0.955900804395988
"SGIP1",0.982837774844627
"ROPN1L",0.859815154624769
"LOC643406",0.800909332065765
"UBE2H",0.974913463357858
"ERRFI1",0.892878587842648
"MIR144",0.962663982218141
"SYNC",0.870253426999944
"C3orf65",0.981549091699506
"C5orf41",0.984496484875457
"HCN2",0.482414427734439
"FBXO30",0.961911683792007
"CYP4F24P",0.934143137623685
"ACTA2",0.982572055220709
"IHH",0.597745832375374
"RASGEF1B",0.985852402854357
"PLCL2",0.839152163605141
"HRASLS5",0.336606642134219
"OR13A1",0.387953583766785
"GPR3",0.440829450334496
"LOC100287036",0.857805985281807
"SLC14A1",0.875189957757979
"GPR15",0.951947051838574
"TNS1",0.695697171205638
"SERPINF2",0.958477401054882
"LOC100131257",0.901888286185458
"PLEKHA6",0.964075043174268
"ABCC3",0.932567417600843
"FHDC1",0.816654694388378
"VSIG1",0.934143137623684
"ABCC13",0.851896770330049
"HBA2",0.854030600036058
"PLEK2",0.994173530283505
"ANKRD55",0.967083469624493
"CNTD2",0.858270608158948
"NSUN3",0.944199271815742
"PTK2B",0.981197155421671
"ANKRD9",0.977018421763403
"DCAF12",0.985416976181857
"WDR26",0.974808767856916
"TRIM2",0.78868629378941
"TMEM86A",0.943401396146542
"CRYM",0.934874739940739
"PDZK1IP1",0.835321062452044
"CASQ1",0.944183257120277
"LOC149837",0.892882607562665
"ACRC",0.854390639724477
"C2CD4D",0.934143137623685
"IL1R1",0.962581870603338
"HBA1",0.905532409012496
"SCRT2",0.966549334701889
"FGF8",0.36653329009048
"MAFA",0.78647706078208
"VGF",0.500479712976164
"LOC643339",0.863954288707569
"HIST3H2A",0.986577911577162
"CD8A",0.934143137623684
"GABARAPL3",0.98855483352788
"CXorf36",0.934143137623684
"IL6ST",0.993347421840774
"IGSF22",0.650187202272238
"C11orf85",0.918312093508323
"LOC100505702",0.935852743715476
"CXCL2",0.883297288688581
"CDC42EP1",0.765804946129273
"EBF1",0.953997318199756
"ERBB3",0.77226033051312
"FAM46C",0.99217578526
"C3orf58",0.979652009897557
"BMP6",0.794766350824404
"FAM124A",0.960895362961881
"LOC643401",0.692328539612433
"GPX3",0.850437366010682
"RHBDF1",0.918720606781729
"PNRC1",0.945636309225566
"PXT1",0.632333424941019
"MIR130A",0.749692899657749
"OR2W3",0.938256934254309
"ARRDC2",0.988948835045669
"MIR4732",0.982623646851503
"CCDC24",0.93905999960655
"TREML4",0.934801390272785
"TREML2",0.955497610035645
"TTC39A",0.854078269265975
"KCNN3",0.96915130287179
