"","x"
"PLCL1",0.840580814413433
"GPR50",0.97488141970305
"ID1",0.937252342242594
"GPCPD1",0.971899495561432
"TMEM88",0.996281961090497
"PLCL2",0.861628599298251
"ERRFI1",0.912784296872156
"LOC646324",0.918098745582678
"SESN3",0.981614130660339
"LOC100128164",0.980143004369574
"LOC643339",0.861850585169761
"RIOK3",0.995614481668163
"CMKLR1",0.740119797504138
"MIR144",0.96718910521858
"BCAM",0.682663116818674
"APOBEC3A",0.500473718060162
"CD274",0.994401678659748
"PRDM16",0.95994213504464
"JAZF1",0.770196397071519
"ATP1A3",0.99676831690476
"TECTA",0.977362303808719
"GPR98",0.993570670115341
"GABARAPL1",0.994558876286007
"FOXD1",0.893857553670461
"PLEK2",0.993417815496394
"LOC100505702",0.951792090759416
"IL6ST",0.994125544909169
"ARG2",0.95887452014904
"MLXIPL",0.981741552192114
"AGPAT4-IT1",0.935303095341538
"CDC42EP1",0.77531919843537
"PI16",0.949210665056641
"PCSK1N",0.835962490561089
"COL21A1",0.949210665056641
"COL9A2",0.984948463082793
"MOCOS",0.94898583573356
"MFAP3L",0.891207984136024
"MARVELD3",0.843047982437386
"CYP3A43",0.982663168597976
"RASGRP3",0.972839979534717
"CCNG2",0.964595059696269
"TRIB3",0.766712920730828
"ELAVL3",0.994798510149069
"BPGM",0.993963682641091
"B3GNT8",0.98219443226734
"ABLIM1",0.808901378162398
"C3orf65",0.978556404800272
"UBE2H",0.984431072986461
"LOC100506190",0.92650887834913
"LINC00299",0.805542590118687
"PIK3IP1",0.988107035080535
"E2F2",0.687602169086127
"MIR3189",0.991267792437685
"TGM5",0.97848145443152
"GADD45A",0.982122887857499
"MAP6",0.901644887860023
"PLA2G16",0.983587399630222
"FMNL2",0.994121505882589
"FAM46C",0.992166370362979
"ESRG",0.975015157690057
"EBF1",0.948727789785469
"PAPPA2",0.870795698799118
"GZMM",0.901367869016796
"CRYM",0.949207054695528
"SOX6",0.655458138440665
"RELN",0.978585100064313
"JHDM1D",0.919523986942815
"MDGA1",0.978686833539392
"LOC100134229",0.93128328973053
"LOC200261",0.699452620346984
"ATF3",0.821003686388756
"HBA2",0.853608140525883
"RASGEF1B",0.982731594699339
"LOC148696",0.902773568706065
"RASSF6",0.949210665056641
"TTLL7",0.740199015707213
"LIF",0.414628900189434
"TP63",0.736017896649058
"RHBDF1",0.936555341988267
"ACTA2",0.983464285528818
"CDKN2B-AS1",0.96556976347355
"SLC6A9",0.770116224743578
"ALS2CR11",0.973898479089889
"C2orf88",0.768545917405386
"HMP19",0.776256584910245
"ANKRD33",0.927010883253595
"JPH2",0.582720003362172
"TPH2",0.949210665056641
"PNMA2",0.572695715544207
"KLRD1",0.978833562489348
"HMOX1",0.772182400051768
"TMEM119",0.949210665056641
"SPINK4",0.931215388402696
"NUAK1",0.949210665056641
"TLCD2",0.829885186254277
"TG",0.892697949567791
"RRAD",0.444329266700351
"GPR37L1",0.949210665056641
"MIR27A",0.924600642851401
"FGF19",0.949210665056641
"SP6",0.880831213059075
"CLEC2B",0.766622101518324
"ABCA8",0.949210665056641
"COLEC11",0.919788471353366
"DLGAP2",0.949210665056641
"SDS",0.916967226040164
"UPK1A",0.858932906043658
"KIAA1324",0.970377950602254
"BTLA",0.836489180909207
"SRSF12",0.616601310531718
"C1orf116",0.759604424808829
"ARHGAP27",0.99325948827325
"SERPINC1",0.845270939121049
"HIST1H1C",0.993915191756879
"GJC2",0.958433373458326
"BIRC3",0.585650145300378
"CSDC2",0.419315832598879
"REM2",0.995499102077602
"TRIM58",0.958594754833085
"HBE1",0.977478440873237
"FTCD",0.814217399424505
"KIAA0319",0.556979093486215
"OR2T33",0.551561902156031
"KIAA1683",0.791722857923105
"C19orf77",0.989377695724895
"PRPH2",0.930694390026699
"TBCEL",0.947557531741374
"FOXI1",0.949210665056641
"MIR4742",0.881138053769634
"MIR29B2",0.949210665056641
"VIL1",0.857020275099489
"CHRNA2",0.949210665056641
"ROPN1L",0.868638492691231
"LOC643406",0.824485854443954
"SYNC",0.884516593478594
"C5orf41",0.990944219177788
"HCN2",0.493748126867802
"FBXO30",0.973919149832871
"IHH",0.627076920116417
"HRASLS5",0.3468233519119
"OR13A1",0.401231093467392
"GPR3",0.498240109074006
"LOC100287036",0.877924475362291
"GPR15",0.953332546229201
"SERPINF2",0.967891783010865
"ABCC3",0.924951207364309
"VSIG1",0.949210665056641
"CNTD2",0.86348711565798
"NSUN3",0.954510391695566
"ANKRD9",0.97250506322668
"DCAF12",0.991166479957843
"WDR26",0.983036179076213
"TRIM2",0.811264274468708
"TMEM86A",0.957868334027659
"PDZK1IP1",0.836534876373192
"CASQ1",0.957837325419007
"LOC149837",0.91216216452446
"ACRC",0.875703482495144
"C2CD4D",0.949210665056641
"HBA1",0.901064660058584
"SCRT2",0.974605826908285
"FGF8",0.370685242897003
"MAFA",0.803436213918313
"VGF",0.518440030187579
"HIST3H2A",0.990167992996229
