id	D1	D2	D3	M1	M2	M3
ZNF699	6.20945336562895	6.4262647547021	6.79441586635011	6.58496250072116	6.58496250072116	6.49185309632967
PYCR3	7.76155123244448	7.95419631038687	7.56985560833095	7.61470984411521	8.02236781302845	7.8703647195834
DSTNP3	3.4594316186373	3.32192809488736	3.70043971814109	2.8073549220576	4.08746284125034	4.08746284125034
DDX50P1	3.4594316186373	5.12928301694497	4.64385618977472	4.58496250072116	4.4594316186373	4.75488750216347
TENT5B	2.32192809488736	0	2.32192809488736	2.32192809488736	0	3.8073549220576
ID2	10.4408691676109	10.3398500028846	9.86418614465428	10.3564519702218	10.3652288492515	10.1686721181322
FKBP14-AS1	2.8073549220576	2.58496250072116	3.32192809488736	1.58496250072116	4.39231742277876	3.70043971814109
NAV1	5.64385618977472	5.24792751344359	5.95419631038687	5.4262647547021	5.70043971814109	6.04439411935845
RTKN	3.70043971814109	4	4.24792751344359	4.08746284125034	4	3.58496250072116
HOXA9	2	0	2.58496250072116	2.32192809488736	1.58496250072116	1.58496250072116
RPL12P35	1.58496250072116	2.32192809488736	1.58496250072116	2.58496250072116	2	0
NPIPB9	1.58496250072116	1.58496250072116	2.32192809488736	2.58496250072116	2	0
NFKB2	8.89784545600551	9.40726776424473	9.03617361255349	8.83289001416474	9.0389189892923	9.2240016741981
VKORC1L1	9.17242750864548	9.26209484537018	9.22158712126481	9.12153351734003	9.3151495622563	9.06069593168755
LINC01012	4.85798099512757	5.16992500144231	5	5.12928301694497	4.85798099512757	5.24792751344359
ANKRD13D	7.74819284958946	7.77478705960117	7.91886323727459	7.62205181945638	7.98868468677217	8.03342300153745
THEM4	8.36194377373524	8.28540221886225	8.38801728534514	8.14465824283188	8.37503943134693	8.35755200461808
PDIA6	11.5033288566267	11.6697708885255	11.7056323873614	11.5352753766208	11.8269456504155	11.6908710092923
ZNF512	8.34429590791582	8.5352753766208	8.4594316186373	8.38370429247405	8.51569983828404	8.59991284218713
SMIM10L2A	1.58496250072116	2	1.58496250072116	0	3.16992500144231	3.16992500144231
ZNF602P	2.58496250072116	2	1	2.58496250072116	0	2
UNGP3	2	0	2.58496250072116	2	1	2.58496250072116
LASP1	12.2905948880826	12.4022126727146	12.2191685204622	12.2511865035243	12.3976746329483	12.4175888403826
DUSP11	8.44294349584873	8.4594316186373	8.4262647547021	8.31288295528435	8.63299519714296	8.55074678538324
FRK	2.32192809488736	2.8073549220576	3.70043971814109	3.16992500144231	2.32192809488736	2.8073549220576
SSBP3P1	6.12928301694497	5.97727992349992	5.7279204545632	5.55458885167764	6.4757334309664	6.14974711950468
SEMA3F-AS1	6.71424551766612	6.82017896241519	6.4757334309664	6.55458885167764	6.78135971352466	6.4757334309664
UBIAD1	8.19967234483636	8.42206476617281	8.34429590791582	8.12928301694497	8.50382573799575	8.53915881110803
ATP5F1D	9.19721669311005	9.37068740680722	9.23601419190008	9.23601419190008	9.41574176829009	9.30606168942834
ZNF486	4.24792751344359	5.61470984411521	5.12928301694497	4.52356195605701	4.75488750216347	5.20945336562895
ALG1	7.36632221424582	7.09803208296053	6.95419631038687	6.85798099512757	7.34872815423108	6.96578428466209
LINC02709	2.8073549220576	2.8073549220576	0	0	3.58496250072116	3.70043971814109
STX18-AS1	5.97727992349992	6.28540221886225	5.58496250072116	6.02236781302845	6.28540221886225	5.83289001416474
