id	C1	C2	C3	C4	J1	J2	J3	J4
TREML1	0	0	0	0	1.58496250072116	2	1	1
DUSP21	1	2	1.58496250072116	1	0	0	0	0
KLC2-AS2	1	2	1.58496250072116	1	0	0	0	0
MESP2	1.58496250072116	2	1	1	0	0	0	0
VSIG10L-AS1	2	1.58496250072116	1	1	0	0	0	0
TIAM1	3.58496250072116	4.24792751344359	3.32192809488736	3.58496250072116	5.20945336562895	7.02236781302845	5.4262647547021	5.4594316186373
H2BC18	3.58496250072116	4.32192809488736	3.16992500144231	3	5.39231742277876	4.70043971814109	6.20945336562895	5.75488750216347
LDLRAD3	7.99435343685886	8.44708322620965	8.07681559705083	7.66533591718518	5.49185309632967	6.94251450533924	6.4594316186373	6.49185309632967
ATXN7L1	8.34429590791582	8.8703647195834	8.40087943628218	8.31288295528435	6.95419631038687	7.25738784269265	7.36632221424582	7.48381577726426
SIGLEC10-AS1	3.32192809488736	3.58496250072116	3.4594316186373	3.16992500144231	1.58496250072116	2.58496250072116	2	2
FBXW4P1	3.70043971814109	4	4.52356195605701	4	2.58496250072116	3	2.8073549220576	2.8073549220576
RGS14	5.8073549220576	6.33985000288462	5.90689059560852	5.39231742277876	2.58496250072116	4.90689059560852	2.58496250072116	3.32192809488736
ITPKB	9.50977500432694	9.95419631038687	9.39660478118186	9.24079133216196	8.3037807481771	8.18982455888002	8.4093909361377	8.43045255166553
CCDC7	6.10852445677817	6.53915881110803	6.3037807481771	6.18982455888002	4.64385618977472	4.85798099512757	5.39231742277876	5.20945336562895
PXN-AS1	8.20945336562895	8.77807712953536	8.31288295528435	8.06069593168755	6.65821148275179	6.5077946401987	7.4178525148859	7.06608919045777
VDAC1P8	5.7279204545632	6.24792751344359	5.7279204545632	5.85798099512757	4.32192809488736	4.85798099512757	4.64385618977472	4.85798099512757
TSPAN17	11.2502984179063	11.7351328841399	11.2312211807112	11.0887882387169	10.0808175276083	9.83289001416474	10.2384047393251	10.292321632802
LINC02470	3.16992500144231	4.08746284125034	4.39231742277876	3.32192809488736	1.58496250072116	2.32192809488736	2	2.32192809488736
DNPH1	10.2443638351205	10.7498694273968	10.0539258815311	10.0834793273318	8.33985000288462	9.04439411935845	9.16992500144231	8.99435343685886
CIART	3.70043971814109	4.39231742277876	4.85798099512757	3.70043971814109	1	2.32192809488736	2	2.8073549220576
RPS27AP5	3.8073549220576	4.16992500144231	3.70043971814109	3.70043971814109	2.58496250072116	1	2.32192809488736	2.32192809488736
DCP1B	9.12412131182919	9.45327063401062	8.8703647195834	8.86108690599539	7.45121111183233	7.44294349584873	8.01680828768655	8.07681559705083
KIT	11.0721326041672	11.6452080827747	11.1497471195047	10.9469062744564	9.34429590791582	8.90086680798075	10.1305705628054	9.96434086779242
C6orf223	2.58496250072116	4.32192809488736	4.16992500144231	3.58496250072116	0	2	1	1.58496250072116
KLHDC8B	10.3014961949825	10.6156296369681	10.0887882387169	9.87805091272854	8.79116288855502	7.94836723158468	8.88874324889826	9.09539702279256
ZFP69	8.55842071326866	9.00281501560705	8.31741261376487	8.32192809488736	6.79441586635011	7.4262647547021	7.4594316186373	7.20945336562895
SP100	11.7193888209421	12.2033480029798	11.6307221621038	11.3880172853451	10.0914353863236	10.3706874068072	10.6608872703026	10.5933911227917
ZBTB2	8.62570884306447	9.09803208296053	8.23840473932508	8.4594316186373	7.24792751344359	7.2667865406949	7.49984588708321	7.40087943628218
PSMB8-AS1	3.4594316186373	3	2.58496250072116	2.32192809488736	1	1	1.58496250072116	1.58496250072116
ITGA2B	8.49585502688717	9.34651373316563	9.07948478382682	8.63299519714296	6.76818432477693	6.88264304936184	7.64385618977472	7.77478705960117
MIX23P3	5.8073549220576	5.6724253419715	5.4262647547021	4.58496250072116	3.58496250072116	3.4594316186373	4	4.08746284125034
CDC42BPG	6.82017896241519	7.85798099512757	7.38370429247405	6.82017896241519	5.61470984411521	5.7279204545632	5.93073733756289	5.88264304936184
COG7	8.59991284218713	9.19229281447077	8.54303182025524	8.49585502688717	7.32192809488736	7.32192809488736	7.56224242422107	7.67948009950545
NAPRT	9.00281501560705	9.64205169292798	8.97154355395077	8.97154355395077	7.82654848729092	7.08746284125034	7.88264304936184	8.01122725542325
H2AC21	4	4.64385618977472	3.32192809488736	3.8073549220576	5.58496250072116	5.08746284125034	5.7279204545632	6.08746284125034
APOBEC2	2.32192809488736	3.16992500144231	3	2.8073549220576	2	1	1	1
STAC3	7.66533591718518	8.3037807481771	8.01680828768655	7.4594316186373	6.37503943134692	5.97727992349992	6.49185309632967	6.8703647195834
MAGED1	9.15228484230658	9.66355810421727	9.24555270625568	9.02236781302845	7.70043971814109	8.25266543245025	8.09803208296053	8.12412131182919
AVPI1	7.05528243550119	7.76818432477693	6.76818432477693	6.70043971814109	4.52356195605701	5.52356195605701	5.88264304936184	5.20945336562895
RGS12	8.91886323727459	9.67771964164101	9.13955135239879	9.05256805080415	7.34872815423108	8.15987133677839	7.97727992349992	7.81378119121704
HMGCS1	11.1395513523988	12.0610336016811	11.6220518194564	11.3874788658424	9.78626962764847	9.80574387215162	10.5018371849023	10.3275526440812
AVPR2	5.08746284125034	5.12928301694497	4.85798099512757	4.85798099512757	2.58496250072116	4.24792751344359	2.8073549220576	3.16992500144231
