id	D1	D2	D3	M1	M2	M3
HOXB9	6.22881869049588	6.94251450533924	6.3037807481771	4.95419631038687	5.16992500144231	5.88264304936184
CYP4F3	5.16992500144231	5.93073733756289	4.90689059560852	3.90689059560852	3.4594316186373	4.52356195605701
ARSG	6.06608919045777	5.85798099512757	5.8073549220576	4.90689059560852	4.32192809488736	5.39231742277876
MIR1244-3	2.58496250072116	1.58496250072116	2	0	1	1
HM13-IT1	1.58496250072116	1	2	2.32192809488736	2.58496250072116	2.8073549220576
CNR2	3.4594316186373	3.32192809488736	3.4594316186373	2.32192809488736	1.58496250072116	0
RAB28P5	2	2	3.4594316186373	0	1	1
MOCOS	5.28540221886225	4.24792751344359	4.16992500144231	3.32192809488736	3.4594316186373	3.4594316186373
MIR103A1	1	1.58496250072116	2	3.32192809488736	2.8073549220576	2.32192809488736
TMEM144	5.4262647547021	6.35755200461808	6.12928301694497	4.85798099512757	5	3.90689059560852
LINC01465	3	3.4594316186373	4.4594316186373	4.70043971814109	5.7279204545632	5.35755200461808
TMEM35A	0	1.58496250072116	1.58496250072116	2.32192809488736	4.39231742277876	3.90689059560852
SHBG	2	0	0	2.32192809488736	3.32192809488736	3
PRMT5-AS1	1.58496250072116	2.8073549220576	2.8073549220576	3.70043971814109	4.75488750216347	3.70043971814109
RBMS2P1	3.16992500144231	2.32192809488736	3.16992500144231	1.58496250072116	0	1.58496250072116
TMPRSS5	4.52356195605701	4.64385618977472	5.35755200461808	3.4594316186373	3.90689059560852	4.08746284125034
FCER2	4.64385618977472	3	3.8073549220576	0	1.58496250072116	2.32192809488736
PCBP2-OT1	1	1	2.32192809488736	3	3.58496250072116	2.58496250072116
VEZF1P1	1	1.58496250072116	2	2.32192809488736	3	2.58496250072116
HLA-W	4.08746284125034	4.58496250072116	3.58496250072116	2.32192809488736	2.8073549220576	3.32192809488736
LINC02012	3	4.75488750216347	4.16992500144231	2.58496250072116	2.32192809488736	1.58496250072116
PPIL6	3.90689059560852	2.58496250072116	3.58496250072116	2.32192809488736	1.58496250072116	2
GOLGA2P8	1	1	0	1.58496250072116	2.58496250072116	3.32192809488736
LILRA2	3.16992500144231	3.70043971814109	2.8073549220576	0	2.32192809488736	0
PNMA6A	3.4594316186373	5.12928301694497	4.24792751344359	2.32192809488736	2.32192809488736	0
LPCAT1	3.4594316186373	4.08746284125034	3.32192809488736	5.12928301694497	5.4262647547021	4.24792751344359
LINC00173	3.32192809488736	4.08746284125034	3.16992500144231	2.32192809488736	2	2.8073549220576
MICE	3.90689059560852	4.32192809488736	4.39231742277876	2.58496250072116	3.58496250072116	2
DPYSL4	0	1.58496250072116	1.58496250072116	3.4594316186373	2.58496250072116	2.58496250072116
PCBP3	1.58496250072116	1.58496250072116	0	2.32192809488736	3.16992500144231	3
LDHD	5.12928301694497	5.75488750216347	6.24792751344359	3.90689059560852	4.95419631038687	3.8073549220576
MIR3193	0	1	1.58496250072116	2.32192809488736	2.32192809488736	3.58496250072116
EDARADD	5.70043971814109	6.04439411935845	5.04439411935845	3.32192809488736	4.32192809488736	4.64385618977472
MIRLET7BHG	1.58496250072116	2.8073549220576	2.32192809488736	3.16992500144231	3.90689059560852	3.4594316186373
CHAD	4.39231742277876	4.52356195605701	4	2.58496250072116	3.58496250072116	3.4594316186373
CRB1	3.8073549220576	4	3.32192809488736	0	2.58496250072116	1.58496250072116
GPR1-AS	4.64385618977472	5.24792751344359	4.39231742277876	4	3.32192809488736	2.58496250072116
PTGES	3.90689059560852	3.90689059560852	2.8073549220576	2.32192809488736	2	2.58496250072116
NRXN3	4.16992500144231	5.16992500144231	4.70043971814109	3.16992500144231	3.4594316186373	1.58496250072116
RN7SKP281	3.90689059560852	4.32192809488736	4.64385618977472	2.8073549220576	3.58496250072116	3.4594316186373
C3orf80	3.4594316186373	3.16992500144231	3.16992500144231	1.58496250072116	2.8073549220576	1.58496250072116
SLC25A30	4.58496250072116	5.52356195605701	4.70043971814109	5.64385618977472	6.49185309632967	6.22881869049588
SDCBP2	3.70043971814109	3	3.32192809488736	5	4.58496250072116	3.90689059560852
RN7SL49P	1.58496250072116	1.58496250072116	2.8073549220576	3	4.39231742277876	3.70043971814109
TNFRSF18	2.8073549220576	3.16992500144231	2.32192809488736	0	0	2
SOX17	0	0	0	3.16992500144231	1.58496250072116	1
RAX	0	0	0	3.16992500144231	1.58496250072116	1
TBXAS1	3.58496250072116	3.4594316186373	2	4.8073549220576	4.64385618977472	4.32192809488736
XKR5	3.16992500144231	3	2.8073549220576	2.58496250072116	1.58496250072116	1.58496250072116
LMOD1	4.90689059560852	5.08746284125034	4.24792751344359	3.16992500144231	3.90689059560852	3.90689059560852
GPR182	1.58496250072116	2.32192809488736	2.8073549220576	3.4594316186373	3.4594316186373	3.16992500144231
GJA1	1.58496250072116	2.8073549220576	2.32192809488736	3.4594316186373	3.16992500144231	3.4594316186373
SLC31A2	2.8073549220576	2	1.58496250072116	0	1	1
LINC01814	5.83289001416474	5.88264304936184	5.04439411935845	4.58496250072116	3.70043971814109	4.70043971814109
AKR7A3	0	0	1.58496250072116	2.32192809488736	3.58496250072116	2
CRMP1	1.58496250072116	2.32192809488736	3.16992500144231	4.24792751344359	3.70043971814109	3.58496250072116
SPATA6	1.58496250072116	0	1.58496250072116	2.32192809488736	3.16992500144231	2.8073549220576
