id	C1	C2	C3	C4	J1	J2	J3	J4
CCL17	0	0	0	1	1.58496250072116	0	0	0
OR1F2P	0	0	0	1.58496250072116	1	0	0	0
SRL	0	0	1.58496250072116	0	1	0	0	0
BCO1	0	1	0	0	0	1.58496250072116	0	0
RN7SL279P	1	0	0	0	1.58496250072116	0	0	0
SNORA46	0	0	1.58496250072116	0	0	0	1	0
RPS26P52	0	1	0	0	1.58496250072116	0	0	0
CHST5	0	0	0	1.58496250072116	0	0	1	0
NOXO1	0	1	0	0	0	0	1.58496250072116	0
TEKT1	1	0	0	0	0	0	0	1.58496250072116
SKAP1-AS2	0	0	0	1	0	0	0	1.58496250072116
CD300LF	0	1.58496250072116	0	0	0	0	1	0
CD300E	0	0	0	1.58496250072116	1	0	0	0
TEN1	0	0	1	0	0	0	0	1.58496250072116
AANAT	0	1.58496250072116	0	0	0	0	0	1
CSH2	0	1	0	0	0	0	0	1.58496250072116
MIR132	0	0	0	1	0	1.58496250072116	0	0
SMTNL2	0	1	0	0	0	0	0	1.58496250072116
C17orf114	0	1	0	0	1.58496250072116	0	0	0
RNA5SP443	0	0	0	1.58496250072116	0	0	1	0
GCGR	0	0	0	1	0	0	1.58496250072116	0
RNU6-446P	1	0	0	0	0	0	0	1.58496250072116
KRT18P61	1.58496250072116	0	0	0	1	0	0	0
LINC01909	0	1	0	0	0	1.58496250072116	0	0
KCNK15-AS1	0	1	0	0	0	1.58496250072116	0	0
MIR298	0	0	0	1	0	1.58496250072116	0	0
RNU6-759P	0	0	1	0	1.58496250072116	0	0	0
RNU6-1251P	0	1	0	0	0	1.58496250072116	0	0
RSL24D1P6	0	1	0	0	0	0	0	1.58496250072116
SLC24A3-AS1	1.58496250072116	0	0	0	0	0	0	1
RPL12P11	0	0	0	1	0	0	0	1.58496250072116
CYP4F23P	0	0	1	0	0	0	1.58496250072116	0
CLC	0	0	0	1	1.58496250072116	0	0	0
NDUFA3P1	0	1.58496250072116	0	0	0	0	0	1
CD177	0	0	1	0	0	0	0	1.58496250072116
RSPH6A	0	0	0	1	0	0	0	1.58496250072116
TPRG1LP1	0	1.58496250072116	0	0	1	0	0	0
CLEC4M	0	1.58496250072116	0	0	1	0	0	0
TARM1	1	0	0	0	0	1.58496250072116	0	0
